City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
312,Nuuk,GL,64.1835,-51.7216,31.87,76,82,8.25,broken clouds
313,Severo-Kurilsk,RU,50.6789,156.125,39.02,63,34,21.39,scattered clouds
314,Sao Filipe,CV,14.8961,-24.4956,78.87,75,66,8.08,broken clouds
315,Katsuura,JP,35.1333,140.3,65.03,49,0,11.65,clear sky
316,Kysyl-Syr,RU,63.8986,122.7617,18.9,93,100,0.98,overcast clouds
317,Nampula,MZ,-15.1165,39.2666,68.07,92,0,3.74,clear sky
318,Pipri,IN,19.8,75.5333,72.55,55,0,3.53,clear sky
319,Lavrentiya,RU,65.5833,-171.0,15.91,72,100,9.84,overcast clouds
320,Gap,FR,44.6667,6.0,38.84,75,100,4.61,overcast clouds
321,Ulladulla,AU,-35.35,150.4667,81.5,57,61,12.77,light rain
322,Okhotsk,RU,59.3833,143.3,21.9,42,100,6.82,overcast clouds
323,Westport,US,41.1415,-73.3579,53.74,72,0,1.01,clear sky
324,Jhargram,IN,22.45,86.9833,76.03,61,16,6.35,few clouds
325,Solnechnyy,RU,50.7214,136.6319,40.89,46,100,7.16,overcast clouds
326,Longyearbyen,SJ,78.2186,15.6401,28.24,69,75,11.5,broken clouds
327,Arman,RU,59.7,150.1667,21.31,51,5,4.79,clear sky
328,Prince George,CA,53.9166,-122.753,39.25,48,0,2.3,clear sky
329,Sao Gotardo,BR,-19.3111,-46.0489,66.63,80,96,2.75,overcast clouds
330,La Libertad,EC,-2.2333,-80.9,67.69,82,98,12.35,overcast clouds
331,Carnarvon,AU,-24.8667,113.6333,73.47,21,0,21.85,clear sky
332,Mukdahan,TH,16.5833,104.5,74.95,66,96,11.01,overcast clouds
333,Puerto Palomas,MX,31.7667,-107.6167,62.67,32,100,4.99,overcast clouds
334,Tartagal,AR,-22.5164,-63.8013,66.81,61,95,11.12,overcast clouds
335,Shelburne,CA,44.0787,-80.2041,49.6,67,100,6.33,overcast clouds
336,Villazon,BO,-22.0866,-65.5942,49.35,41,0,8.14,clear sky
337,Wanning,CN,18.8003,110.3967,77.36,65,100,16.44,overcast clouds
338,Manono,CD,-7.3,27.4167,66.43,95,71,1.48,moderate rain
339,Voyvozh,RU,62.892,54.9635,27.43,95,96,6.4,overcast clouds
340,Saint-Augustin,CA,51.226,-58.6502,42.44,66,40,10.49,scattered clouds
341,Thompson,CA,55.7435,-97.8558,41.16,52,75,6.91,broken clouds
342,Alofi,NU,-19.0595,-169.9187,80.49,78,26,18.41,scattered clouds
343,Kutum,SD,14.2,24.6667,66.81,34,46,6.13,scattered clouds
344,Kurumkan,RU,54.3,110.3,27.61,44,11,5.28,few clouds
345,Bombay,IN,19.0144,72.8479,76.98,53,0,4.61,smoke
346,Williston,US,48.147,-103.618,49.8,63,97,11.86,overcast clouds
347,Ilulissat,GL,69.2167,-51.1,17.62,79,72,2.3,broken clouds
